iter	Logloss
0	0.688271871
1	0.6849877726
2	0.6827642401
3	0.6815616285
4	0.6815206051
5	0.6815043751
6	0.679714319
7	0.6797142284
8	0.6787626021
9	0.6787519187
10	0.6787366508
11	0.6785789467
12	0.6770386707
13	0.6770188012
14	0.6769170968
15	0.6767587996
16	0.6760027149
17	0.6756802932
18	0.6756644822
19	0.6756502673
20	0.6756493511
21	0.675535906
22	0.6755301099
23	0.6755275465
24	0.6753156772
25	0.6750366721
26	0.6750255077
27	0.67502372
28	0.6744393151
29	0.6744010174
30	0.6743964661
31	0.6727036569
32	0.6726863549
33	0.672685331
34	0.6726853241
35	0.6724588059
36	0.671928607
37	0.6719270362
38	0.6719089517
39	0.6718931001
40	0.6718917272
41	0.6708944179
42	0.6704294431
43	0.6698658444
44	0.669408767
45	0.6694045607
46	0.66918924
47	0.6679514542
48	0.6679514234
49	0.6678946941
50	0.6678936709
51	0.6678443891
52	0.6676500438
53	0.6675486573
54	0.6675326591
55	0.6673751634
56	0.6671272329
57	0.6670887844
58	0.6669949921
59	0.6667546185
60	0.6663637721
61	0.6654566429
62	0.6645315146
63	0.6639604058
64	0.6635383344
65	0.6633217094
66	0.6628326877
67	0.6618785989
68	0.6615006052
69	0.6609557062
70	0.6598626061
71	0.6596186738
72	0.6585355793
73	0.6575153073
74	0.6562928035
75	0.6555882722
76	0.654719228
77	0.6541869557
78	0.6539158333
79	0.6524941349
80	0.651808656
81	0.6511794482
82	0.650484877
83	0.649839986
84	0.649659488
85	0.6490993715
86	0.6480411846
87	0.6479248735
88	0.6477534986
89	0.6472384064
90	0.6467348318
91	0.6463559149
92	0.6457333501
93	0.6452810737
94	0.6449578803
95	0.6444245933
96	0.64408393
97	0.643710486
98	0.6431329589
99	0.6428942954
