iter	Passed	Remaining
0	130	12954
1	186	9126
2	213	6897
3	242	5817
4	269	5123
5	281	4403
6	309	4112
7	319	3670
8	353	3574
9	369	3321
10	384	3108
11	485	3559
12	551	3689
13	567	3488
14	600	3404
15	634	3330
16	663	3238
17	693	3159
18	707	3016
19	723	2895
20	736	2772
21	754	2675
22	765	2563
23	776	2458
24	807	2422
25	833	2373
26	847	2291
27	856	2201
28	880	2156
29	903	2109
30	914	2034
31	939	1996
32	951	1931
33	961	1866
34	967	1795
35	993	1765
36	1020	1737
37	1030	1681
38	1043	1631
39	1057	1586
40	1066	1534
41	1090	1505
42	1116	1480
43	1142	1453
44	1166	1425
45	1180	1385
46	1206	1360
47	1232	1335
48	1239	1289
49	1266	1266
50	1278	1228
51	1304	1203
52	1344	1192
53	1384	1179
54	1407	1151
55	1433	1126
56	1469	1108
57	1504	1089
58	1534	1066
59	1561	1041
60	1588	1015
61	1613	988
62	1644	965
63	1673	941
64	1699	914
65	1725	889
66	1757	865
67	1793	843
68	1832	823
69	1865	799
70	1899	775
71	1933	751
72	1981	732
73	2033	714
74	2073	691
75	2113	667
76	2146	641
77	2180	615
78	2215	589
79	2249	562
80	2284	535
81	2324	510
82	2357	482
83	2387	454
84	2413	425
85	2437	396
86	2465	368
87	2495	340
88	2528	312
89	2557	284
90	2584	255
91	2616	227
92	2648	199
93	2689	171
94	2724	143
95	2761	115
96	2795	86
97	2825	57
98	2857	28
99	2891	0
